Γ¥î CONFLICT FOUND on [MON|16:30-18:30|CC-3-5007]:
   - PM at 16:30-18:30 in CC-3-5007
   - PS at 16:30-18:30 in CC-3-5007
Γ¥î CONFLICT FOUND on [FRI|16:30-18:30|CC-3-5006]:
   - LA at 16:30-18:30 in CC-3-5006
   - LA at 16:30-18:30 in CC-3-5006
Γ¥î OVERLAP FOUND in CC-3-5006 on MON:
   - PM at 08:50-12:00 in CC-3-5006 (08:50-12:00)
   - COA at 11:00-13:00 in CC-3-5006 (11:00-13:00)
Γ¥î OVERLAP FOUND in CC-3-5107 on MON:
   - CGV at 08:50-12:00 in CC-3-5107 (08:50-12:00)
   - DBMS at 11:00-13:00 in CC-3-5107 (11:00-13:00)
Γ¥î OVERLAP FOUND in CC-3-5155 on MON:
   - CN at 11:00-13:00 in CC-3-5155 (11:00-13:00)
   - DBMS at 12:00-13:00 in CC-3-5155 (12:00-13:00)
Γ¥î OVERLAP FOUND in CC-3-5006 on MON:
   - DSA at 14:30-16:30 in CC-3-5006 (14:30-16:30)
   - PM at 15:30-17:30 in CC-3-5006 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5055 on MON:
   - DSA at 14:30-16:30 in CC-3-5055 (14:30-16:30)
   - PM at 15:30-17:30 in CC-3-5055 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on MON:
   - COA at 15:30-17:30 in CC-3-5007 (15:30-17:30)
   - PM at 16:30-18:30 in CC-3-5007 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on MON:
   - COA at 15:30-17:30 in CC-3-5007 (15:30-17:30)
   - PS at 16:30-18:30 in CC-3-5007 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on MON:
   - PM at 16:30-18:30 in CC-3-5007 (16:30-18:30)
   - PS at 16:30-18:30 in CC-3-5007 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on TUE:
   - PM at 08:50-12:00 in CC-3-5007 (08:50-12:00)
   - DSA at 11:00-13:00 in CC-3-5007 (11:00-13:00)
Γ¥î OVERLAP FOUND in CC-3-5006 on TUE:
   - SE at 14:30-16:30 in CC-3-5006 (14:30-16:30)
   - DMS at 15:30-17:30 in CC-3-5006 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on TUE:
   - MB at 14:30-16:30 in CC-3-5007 (14:30-16:30)
   - DMS at 15:30-17:30 in CC-3-5007 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5055 on TUE:
   - UDH at 14:30-16:30 in CC-3-5055 (14:30-16:30)
   - DMS at 15:30-17:30 in CC-3-5055 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5106 on TUE:
   - IT at 14:30-16:30 in CC-3-5106 (14:30-16:30)
   - PPL at 15:30-17:30 in CC-3-5106 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5107 on TUE:
   - MI at 14:30-16:30 in CC-3-5107 (14:30-16:30)
   - DBMS at 15:30-17:30 in CC-3-5107 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5155 on TUE:
   - PST at 14:30-16:30 in CC-3-5155 (14:30-16:30)
   - DAA at 15:30-17:30 in CC-3-5155 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on TUE:
   - DMS at 15:30-17:30 in CC-3-5007 (15:30-17:30)
   - PS at 16:30-18:30 in CC-3-5007 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5155 on WED:
   - DM at 08:50-12:00 in CC-3-5155 (08:50-12:00)
   - DAA at 11:00-13:00 in CC-3-5155 (11:00-13:00)
Γ¥î OVERLAP FOUND in CC-3-5006 on WED:
   - COA at 09:50-12:00 in CC-3-5006 (09:50-12:00)
   - DSA at 11:00-13:00 in CC-3-5006 (11:00-13:00)
Γ¥î OVERLAP FOUND in CC-3-5007 on WED:
   - PDC at 14:30-16:30 in CC-3-5007 (14:30-16:30)
   - DMS at 15:30-17:30 in CC-3-5007 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5055 on WED:
   - PDC at 14:30-16:30 in CC-3-5055 (14:30-16:30)
   - DMS at 15:30-17:30 in CC-3-5055 (15:30-17:30)
Γ¥î OVERLAP FOUND in CC-3-5106 on WED:
   - CN at 14:30-17:30 in CC-3-5106 (14:30-17:30)
   - AOL at 16:30-18:30 in CC-3-5106 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5006 on WED:
   - DMS at 15:30-17:30 in CC-3-5006 (15:30-17:30)
   - ES at 16:30-18:30 in CC-3-5006 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on WED:
   - DMS at 15:30-17:30 in CC-3-5007 (15:30-17:30)
   - COI at 16:30-18:30 in CC-3-5007 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5055 on WED:
   - DMS at 15:30-17:30 in CC-3-5055 (15:30-17:30)
   - PRE at 16:30-18:30 in CC-3-5055 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5155 on WED:
   - PPL at 15:30-17:30 in CC-3-5155 (15:30-17:30)
   - CN at 16:30-18:30 in CC-3-5155 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5006 on WED:
   - ES at 16:30-18:30 in CC-3-5006 (16:30-18:30)
   - ES at 17:30-18:30 in CC-3-5006 (17:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5007 on WED:
   - COI at 16:30-18:30 in CC-3-5007 (16:30-18:30)
   - COI at 17:30-18:30 in CC-3-5007 (17:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5055 on WED:
   - PRE at 16:30-18:30 in CC-3-5055 (16:30-18:30)
   - PRE at 17:30-18:30 in CC-3-5055 (17:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5106 on WED:
   - AOL at 16:30-18:30 in CC-3-5106 (16:30-18:30)
   - AOL at 17:30-18:30 in CC-3-5106 (17:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5106 on THU:
   - CN at 15:30-17:30 in CC-3-5106 (15:30-17:30)
   - CN at 16:30-18:30 in CC-3-5106 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5107 on THU:
   - CN at 15:30-17:30 in CC-3-5107 (15:30-17:30)
   - CN at 16:30-18:30 in CC-3-5107 (16:30-18:30)
